rating,date,content,visit_time,reservation,wait_time
5,2026년 7월 4일 토요일,성심당 왔어요 예전에도 성심당은 대전에서 유명. 결혼전부터 부추빵 튀김소보루 등등 성심당빵을 많이 먹어봤는데 전국적으로 엄청난 유명세를 타면서는 오히려 대전에와도 줄서는게 싫어서 안가게 되더라구요. 그러다가 딸기시루가 넘 궁금해서 작년봄에 처음으로 길게 줄을서서 구입. 오늘은 줄서서 구입하는 두번째 날이네요토요일 주말인데 처음 줄섰던 날보다 오히려 줄이 양호해요. 매장안은 그닥 크지않아 손님들로 바글바글. 그 수많은 사람들이 빵을 수북히 담아도 끊임없이 빵들이 금새금새 채워져서 케이크와 달리 품절된 제품은 없었어요오늘의 방문목적은 망고시루와 순수롤케익을 사는것이기에 몇가지빵 구입후 케익부띠끄로 달려달려~ 마지막영상은 성심당에서 사온빵들,저녁에 방문,예약 없이 이용,10분 이내
3.5,2026년 7월 4일 토요일,첫 방문워낙 유명한 곳이라 빵순이로서 버킷리스트에 있었는데 드디어 왔네요주변에는 다들 성심당 종이팩을 들고 다니더군요그리고 줄이ᆢ 말도 못하게 길어요 한여름이나 한겨울에는 많이 힘들듯다행히 생각보다 빨리빨리 줄더라구요매장 안은 진짜 장난 아닙니다 사람이 빽빽하게 들어가 있어서 정말 난리예요결론은 ᆢ사실 좀 실망입니다 가격이 많이 저렴한건 좋은데 대신 빵은 가격만큼 하는듯튀김소보로 종류별로 구매했는데근데 겉이 좀 딱딱하기도 하고 속은 너무 달아요퀸아망은 내가 아는 퀸아망은 아니네요 속이 비었어요샌드위치가 맛있다고들 해서 들렀는데 종류가 몇 가지 안되네요 많이 비싸기도 하고망고크림 샌드위치ᆢ 망고와 크림 양은 얼마 안되지만 망고는 맛있네요한번쯤 가볼만은 합니다만 재방문은ᆢ,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 4일 토요일,여윽시 오랜만에 먹었는데 너무 맛있어요~,점심에 방문,,
5,2026년 7월 4일 토요일,본점 줄 엄청김저정도....그냥무난,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 4일 토요일,굿,아침에 방문,예약 없이 이용,바로 입장
5,2026년 7월 4일 토요일,가성비 좋고 맛있어요!,아침에 방문,예약 없이 이용,1시간 이상
5,2026년 7월 3일 금요일,망고시루 맛있어요!!,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 3일 금요일,성심당 본점 방문. 평일도 사람많네요,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 3일 금요일,성심당은 사실 샌드위치가 찐입니다,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 3일 금요일,바쁜데 직원분들 친절하고 빵이 맛있어요.정말 터져나갈거 같았는데 빵잘라주던 직원분이 오늘은 평소보다 손님이 적은 편이라고 해서 평소는 대체 어떤걸까 싶긴 했습니다.,점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 3일 금요일,임산부혜택으로 바로 입장했어요!,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 2일 목요일,맛있어요 ~~^^,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 2일 목요일,<성심당 200%이용하기>목요일 오후 5시쯤 방문오랫만에 성심당 본점방문. 평일 오후라 그런지 곧바로 입장...계산줄은 약간 기다렸지만 5분 이내로 짧게 기다리고 계산완료.  말치튀소랑 호밀빵 구입.역시 맛있당~~평일 오후에는 관광객이 적은듯.직장인 퇴근전이라 줄이 짧았는데 5시30분 넘으니 살짝 줄이 생기기 시작했음오후5시 쯤에는  케익부띠끄도 줄없고 시루매장도 프리패스. 오랫만에 긴 기다림없이 빵구입.인기상품은 품절ㅠ.ㅠ성심당 본점에서 계산할때는 한줄서기가 아니고 계산대마다 줄서기. 요령껏 짧은줄  쪽으로 가면 빠른계산 가능. 그리고 디지털온누리상품권 결재가 가능하니 꼭 사용해보시길....멤버십가입하면 5%적립...이것도 모으면 쏠쏠함. 지난달에는 적립금으로 망고시루 구입해서 기분 좋았음,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 2일 목요일,빵 종류가 다양하고 맛있었습니다!!!가격 대비 퀄리티가 좋아요!평일 오후 웨이팅은 기다릴만한 것 같아요!,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 2일 목요일,굿,점심에 방문,,
4,2026년 7월 1일 수요일,굿,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 1일 수요일,구매한 모든 빵들이 최고에요╰(*´︶`*)╯♡망고시루 기대한 것보다 훨씬! 맛있었어요!,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 1일 수요일,대전 방문하면 꼭 들려야하는 성심당 본점! 케익부띠끄에서 메론케이크 구입 후 오전에 바로 다녀와보았는데요.웨이팅도 없어 바로 들어가 빵을 구입할 수 있었어요! 방문하기전 성심당에서 꼭 드셔야하는 빵 추천 해드릴게요!1. 명란바게트 🥖2. 보문산메아리 🥮3. 김치찹쌀주먹밥 🍙4. 말차튀김소보로 💚위에 4가지는 꼭 드셔봐야하는 성심당 추천 메뉴에요! 평일인데도 오후에는 줄이 길게 늘어서서 사실 놀랐어요. 그래도 회전율이 빠르고 소진된 빵도 금세 채워졌고요. 대전 오시면 꼭 방문하시는것을 권유드려요!!,점심에 방문,예약 없이 이용,바로 입장
3,2026년 6월 30일 화요일,괜찮아요,저녁에 방문,예약 없이 이용,30분 이내
4.5,2026년 6월 30일 화요일,말뭐. 3만원만 사도 봉투가 빵빵,점심에 방문,예약 없이 이용,30분 이내
5,2026년 6월 30일 화요일,대전의 필수 코스죠!! 사람이 많지만 맛있고 가격이 합리적임,점심에 방문,예약 없이 이용,10분 이내
4.5,2026년 6월 30일 화요일,좋아요.,점심에 방문,예약 없이 이용,30분 이내
5,2026년 6월 30일 화요일,평일 점심 (화요일 12시)웨이팅 없이 5분컷 1통멜론케이크 성공했어요!!,점심에 방문,예약 없이 이용,바로 입장
5,2026년 6월 30일 화요일,시루랑 롤케익 산다고다른빵을 더 많이 못사온게 아쉬울 따름입니다ㅠ넘 맛있고 가성비가 좋아요ㅎㅎ,점심에 방문,예약 없이 이용,10분 이내
5,2026년 6월 30일 화요일,보문산메아리 추천해요,점심에 방문,예약 없이 이용,바로 입장
5,2026년 6월 30일 화요일,역시 대전은 성심당 !! 샌드위치 정거장에서 잠봉뵈르 멕시칠리핫도그  프렌치망고샌드위치 꼭 드세요~~ 그리고 부추빵이나 튀김소보루가 질린다면  초코튀소랑 주먹밥 강추!!!!!!,밤에 방문,예약 없이 이용,30분 이내
5,2026년 6월 29일 월요일,빵 !!!!! 🫶🏻🥖💛,저녁에 방문,,
5,2026년 6월 29일 월요일,맛있어요~~!,점심에 방문,예약 없이 이용,10분 이내
5,2026년 6월 29일 월요일,이색적인 빵종류가 많아요~,아침에 방문,예약 없이 이용,30분 이상
5,2026년 6월 28일 일요일,좋아요,점심에 방문,,
5,2026년 6월 28일 일요일,좋아요,점심에 방문,,
5,2026년 6월 28일 일요일,김티찹쌀주먹밥... 짱맛있습니다 :),점심에 방문,예약 없이 이용,30분 이내
5,2026년 6월 28일 일요일,후다닥 구매하기 ㅎㅎ,점심에 방문,,
